id,name,slug,category,description,price_range,duration,meta_title,meta_description,images,created_at
11,Tiling,tiling,Tiling,"Professional tiling services for floors, walls, backsplashes, and more. We handle tile repair, replacement, and new installations with precision.",$200 - $800,4-12 hours,Professional Tiling Services Greater Sacramento | Expert Installation,Expert tiling services in Greater Sacramento. Quality installations and repairs for all types of tile work.,"[{""alt"": ""Professional tiling services in Greater Sacramento"", ""src"": ""/images/services/house16.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
12,Window Repair,window-repair,Window repair,"Comprehensive window repair services including glass replacement, frame repair, hardware fixes, and weatherization. We restore function and energy efficiency.",$150 - $400,2-4 hours,Window Repair Services Greater Sacramento | Professional Repairs,"Expert window repair in Greater Sacramento. From broken glass to stuck windows, we fix all window issues.","[{""alt"": ""Professional window repair services in Greater Sacramento"", ""src"": ""/images/services/house17.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
13,Deck Repair,deck-repair,Deck repair,"Professional deck repair services including board replacement, railing repair, stair fixes, and structural repairs. We restore safety and appearance.",$200 - $1000,4-16 hours,Deck Repair Services Greater Sacramento | Expert Repairs,Professional deck repair in Greater Sacramento. Restore your deck's safety and beauty with our expert service.,"[{""alt"": ""Professional deck repair services in Greater Sacramento"", ""src"": ""/images/services/house18.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
14,Fence Repair,fence-repair,Fence repair,"Expert fence repair services for all types of fences. We fix loose posts, broken boards, gates, and hardware to restore security and appearance.",$150 - $500,2-8 hours,Fence Repair Services Greater Sacramento | Professional Repairs,Expert fence repair in Greater Sacramento. Fix damaged fences and gates with our professional service.,"[{""alt"": ""Professional fence repair services in Greater Sacramento"", ""src"": ""/images/services/house19.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
15,Smart Home Upgrades,smart-home-upgrades,Smart home upgrades,"Professional smart home device installation and setup. From smart thermostats to security systems, we help modernize your home.",$100 - $500,1-4 hours,Smart Home Installation Greater Sacramento | Professional Setup,Expert smart home upgrades in Greater Sacramento. Professional installation of smart devices and systems.,"[{""alt"": ""Professional smart home installation in Greater Sacramento"", ""src"": ""/images/services/house20.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
16,Babyproofing,babyproofing,Babyproofing,"Professional babyproofing services to create a safe environment for your little ones. We install safety gates, cabinet locks, outlet covers, and more.",$200 - $600,2-6 hours,Professional Babyproofing Services Greater Sacramento | Child Safety,Expert babyproofing services in Greater Sacramento. Create a safe home environment for your children.,"[{""alt"": ""Professional babyproofing services in Greater Sacramento"", ""src"": ""/images/services/house21.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
17,Senior Home Modifications,senior-home-modifications,Senior home modifications,"Specialized home modifications for seniors to enhance safety and accessibility. We install grab bars, handrails, ramps, and other safety features.",$300 - $1000,4-12 hours,Senior Home Modifications Greater Sacramento | Safety & Accessibility,Professional senior home modifications in Greater Sacramento. Make your home safer and more accessible.,"[{""alt"": ""Professional senior home modifications in Greater Sacramento"", ""src"": ""/images/services/house22.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
18,Appliance Installation,appliance-installation,Appliance installation,"Professional appliance installation service for washers, dryers, dishwashers, and more. We ensure proper connections and safe operation.",$150 - $400,2-4 hours,Appliance Installation Services Greater Sacramento | Professional Setup,Expert appliance installation in Greater Sacramento. Safe and proper setup of all major appliances.,"[{""alt"": ""Professional appliance installation in Greater Sacramento"", ""src"": ""/images/services/house23.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
19,Pressure Washing,pressure-washing,Pressure washing,"Professional pressure washing services for decks, patios, driveways, and siding. We restore surfaces to their original beauty.",$200 - $600,2-6 hours,Pressure Washing Services Greater Sacramento | Professional Cleaning,Expert pressure washing in Greater Sacramento. Restore your outdoor surfaces to like-new condition.,"[{""alt"": ""Professional pressure washing services in Greater Sacramento"", ""src"": ""/images/services/house24.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
20,Holiday Lights Installation,holiday-lights,Holiday lights installation,Professional holiday light installation and removal service. We safely install and maintain your festive lighting display.,$200 - $800,3-8 hours,Holiday Light Installation Greater Sacramento | Professional Setup,Professional holiday light installation in Greater Sacramento. Create a festive display without the hassle.,"[{""alt"": ""Professional holiday light installation in Greater Sacramento"", ""src"": ""/images/services/house25.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
21,Winterization,winterization,Winterization,"Comprehensive home winterization services to protect your home from cold weather. We seal drafts, insulate pipes, and prepare your home for winter.",$200 - $600,3-6 hours,Home Winterization Services Greater Sacramento | Weather Protection,Professional home winterization in Greater Sacramento. Protect your home from cold weather damage with our expert service.,"[{""alt"": ""Professional home winterization services in Greater Sacramento"", ""src"": ""/images/services/house26.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
22,Storm Door Installation,storm-door-installation,Storm door installation,Professional storm door installation service. We help you select and install the right storm door to protect your entry door and improve energy efficiency.,$300 - $800,2-4 hours,Storm Door Installation Greater Sacramento | Professional Installation,Expert storm door installation in Greater Sacramento. Enhance your home's protection and energy efficiency.,"[{""alt"": ""Professional storm door installation in Greater Sacramento"", ""src"": ""/images/services/house27.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
23,Security Door Installation,security-door-installation,Security door installation,Professional security door installation service. We install high-quality security doors to enhance your home's safety and provide peace of mind.,$400 - $1000,3-5 hours,Security Door Installation Greater Sacramento | Enhanced Safety,Professional security door installation in Greater Sacramento. Improve your home's security with our expert installation service.,"[{""alt"": ""Professional security door installation in Greater Sacramento"", ""src"": ""/images/services/house28.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
24,Window Shutters Installation,window-shutters-installation,Window shutters installation,Expert window shutters installation service. We install interior and exterior shutters to enhance your home's appearance and functionality.,$200 - $600,2-6 hours,Window Shutters Installation Greater Sacramento | Expert Installation,Professional window shutters installation in Greater Sacramento. Enhance your home's style and privacy.,"[{""alt"": ""Professional window shutters installation in Greater Sacramento"", ""src"": ""/images/services/house29.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
25,Sliding Door Roller Replacement,sliding-door-roller-replacement,Sliding door roller replacement,Professional sliding door roller replacement service. We repair and replace worn rollers to restore smooth operation to your sliding doors.,$150 - $400,1-3 hours,Sliding Door Roller Replacement Greater Sacramento | Expert Repair,Expert sliding door roller replacement in Greater Sacramento. Restore smooth operation to your sliding doors.,"[{""alt"": ""Professional sliding door roller replacement in Greater Sacramento"", ""src"": ""/images/services/house30.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
26,Window Weatherstripping,window-weatherstripping,Window weatherstripping,Professional window weatherstripping service. We install or replace weatherstripping to eliminate drafts and improve energy efficiency.,$100 - $300,1-4 hours,Window Weatherstripping Greater Sacramento | Draft Prevention,Expert window weatherstripping in Greater Sacramento. Eliminate drafts and improve energy efficiency.,"[{""alt"": ""Professional window weatherstripping in Greater Sacramento"", ""src"": ""/images/services/house31.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
27,Door Sweep Installation,door-sweep-installation,Door sweep installation,"Professional door sweep installation service. We install door sweeps to prevent drafts, insects, and debris from entering under your doors.",$75 - $200,1-2 hours,Door Sweep Installation Greater Sacramento | Draft Prevention,Expert door sweep installation in Greater Sacramento. Stop drafts and pests with our professional service.,"[{""alt"": ""Professional door sweep installation in Greater Sacramento"", ""src"": ""/images/services/house32.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
28,Window Frame Repair,window-frame-repair,Window frame repair,"Professional window frame repair service. We fix rotted, damaged, or warped window frames to restore function and appearance.",$200 - $600,2-6 hours,Window Frame Repair Greater Sacramento | Expert Repairs,Expert window frame repair in Greater Sacramento. Fix damaged frames and restore proper window function.,"[{""alt"": ""Professional window frame repair in Greater Sacramento"", ""src"": ""/images/services/house33.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
29,Double-Hung Window Repair,double-hung-window-repair,Double-hung window repair,"Expert double-hung window repair service. We fix stuck sashes, broken springs, and other issues to restore proper window operation.",$150 - $400,2-4 hours,Double-Hung Window Repair Greater Sacramento | Expert Service,Professional double-hung window repair in Greater Sacramento. Fix stuck windows and restore smooth operation.,"[{""alt"": ""Professional double-hung window repair in Greater Sacramento"", ""src"": ""/images/services/house34.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
30,Window Sash Replacement,window-sash-replacement,Window sash replacement,Professional window sash replacement service. We replace damaged or worn window sashes to restore proper function and energy efficiency.,$200 - $500,2-4 hours,Window Sash Replacement Greater Sacramento | Expert Service,Expert window sash replacement in Greater Sacramento. Restore your windows with professional replacement service.,"[{""alt"": ""Professional window sash replacement in Greater Sacramento"", ""src"": ""/images/services/house35.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
31,Patio Door Screen Repair,patio-door-screen-repair,Patio door screen repair,Professional patio door screen repair service. We repair or replace damaged screens to restore functionality and keep insects out.,$100 - $300,1-3 hours,Patio Door Screen Repair Greater Sacramento | Expert Repairs,Expert patio door screen repair in Greater Sacramento. Fix damaged screens and restore proper function.,"[{""alt"": ""Professional patio door screen repair in Greater Sacramento"", ""src"": ""/images/services/house36.jpg"", ""width"": 800, ""height"": 600}]",2025-01-30 21:00:30.681516+00
44,Categories,categories,Home Improvement,Professional categories services,$50-$200,1-4 hours,Categories Services,Professional categories services in your area,"[{""alt"": ""Categories service"", ""url"": ""https://example.com/service.jpg""}]",2025-01-30 23:33:26.307461+00
45,Minor electrical work,minor-electrical-work,Home Improvement,Professional minor electrical work services,$50-$200,1-4 hours,Minor electrical work Services,Professional minor electrical work services in your area,"[{""alt"": ""Minor electrical work service"", ""url"": ""https://example.com/service.jpg""}]",2025-01-30 23:34:21.578482+00
46,Holiday lights installation,holiday-lights-installation,Home Improvement,Professional holiday lights installation services,$50-$200,1-4 hours,Holiday lights installation Services,Professional holiday lights installation services in your area,"[{""alt"": ""Holiday lights installation service"", ""url"": ""https://example.com/service.jpg""}]",2025-01-30 23:35:30.421755+00
47,Test1Service,test1-service,electrical,Test service description,$,1 hour,Test Service Meta Title,Test service meta description,"[""https://example.com/test.jpg""]",2025-01-31 07:12:20.024973+00
49,Test-Door,test-door,Test,Test door service,$50-$200,1-4 hours,Test-Door Services,Professional test-door services in your area,"[{""alt"": ""Test-Door service"", ""url"": ""https://example.com/service.jpg""}]",2025-02-01 06:51:28.26762+00
